id,prob
37842129,0.45
37822187,0.24
37854444,0.17
37642222,0.16
37701596,0.1
37742129,0.08
37822018,0.15
37751772,0.12
37791995,0.17
37831998,0.29
37721473,0.18
36400279,0.1
37621910,0.06
37601999,0.07
37841841,0.24
37671926,0.45
37711908,0.29
37761915,0.31
37691982,0.23
37661861,0.18
37661855,0.32
37761908,0.2
37681953,0.29
37701472,0.17
37731824,0.11
37751916,0.03
37841820,0.21
37407156,0.12
37831843,0.07
37691888,0.37
37661840,0.27
37651796,0.4
37731712,0.34
37641820,0.02
37781827,0.31
37720167,0.36
37611902,0.14
37611953,0.11
37741749,0.21
37691828,0.48
37731794,0.04
37721827,0.35
37821792,0.31
37741543,0.21
37741751,0.06
37711792,0.22
36421136,0.33
37821666,0.06
37781367,0.2
37781802,0.56
37661655,0.15
37771756,0.06
37811787,0.08
31396726,0.09
37711705,0.46
37761717,0.19
37681700,0.34
37771735,0.19
37610762,0.18
37611597,0.23
37681714,0.1
37621715,0.16
37761751,0.3
37741195,0.48
37711652,0.03
37661596,0.46
37781726,0.13
37731642,0.28
37621640,0.32
37077809,0.16
37601725,0.18
37801656,0.2
37641457,0.23
37841570,0.4
37731637,0.14
37721682,0.04
37601716,0.06
37077276,0.13
37711641,0.15
37671674,0.25
37841552,0.21
37631643,0.1
37761508,0.12
37681641,0.27
36059066,0.32
37751705,0.14
36280834,0.1
37701058,0.1
37661538,0.47
37661515,0.11
37761536,0.05
37611643,0.32
36801601,0.33
37661431,0.19
37761554,0.3
37841457,0.07
37631536,0.07
37601584,0.22
37741487,0.1
37611567,0.05
37811568,0.11
37641514,0.28
37107234,0.09
37821463,0.12
37821474,0.28
37671503,0.22
37841429,0.08
37761295,0.15
37621513,0.28
37720929,0.28
37761468,0.12
37611376,0.17
36281033,0.05
36019516,0.06
37771432,0.48
37621463,0.37
16402028,0.09
37751532,0.1
37641398,0.19
37691476,0.39
37771414,0.08
37801484,0.15
37651373,0.14
37800346,0.47
37831333,0.24
37771369,0.03
37711377,0.08
