id,prob
37842129,0.2
37822187,0.2
37854444,0.2
37642222,0.2
37701596,0.2
37742129,0.2
37822018,0.2
37751772,0.2
37791995,0.2
37831998,0.2
37721473,0.2
36400279,0.2
37621910,0.2
37601999,0.2
37841841,0.2
37671926,0.2
37711908,0.2
37761915,0.2
37691982,0.2
37661861,0.2
37661855,0.2
37761908,0.2
37681953,0.2
37701472,0.2
37731824,0.2
37751916,0.2
37841820,0.2
37407156,0.2
37831843,0.2
37691888,0.2
37661840,0.2
37651796,0.2
37731712,0.2
37641820,0.2
37781827,0.2
37720167,0.2
37611902,0.2
37611953,0.2
37741749,0.2
37691828,0.2
37731794,0.2
37721827,0.2
37821792,0.2
37741543,0.2
37741751,0.2
37711792,0.2
36421136,0.2
37821666,0.2
37781367,0.2
37781802,0.2
37661655,0.2
37771756,0.2
37811787,0.2
31396726,0.2
37711705,0.2
37761717,0.2
37681700,0.2
37771735,0.2
37610762,0.2
37611597,0.2
37681714,0.2
37621715,0.2
37761751,0.2
37741195,0.2
37711652,0.2
37661596,0.2
37781726,0.2
37731642,0.2
37621640,0.2
37077809,0.2
37601725,0.2
37801656,0.2
37641457,0.2
37841570,0.2
37731637,0.2
37721682,0.2
37601716,0.2
37077276,0.2
37711641,0.2
37671674,0.2
37841552,0.2
37631643,0.2
37761508,0.2
37681641,0.2
36059066,0.2
37751705,0.2
36280834,0.2
37701058,0.2
37661538,0.2
37661515,0.2
37761536,0.2
37611643,0.2
36801601,0.2
37661431,0.2
37761554,0.2
37841457,0.2
37631536,0.2
37601584,0.2
37741487,0.2
37611567,0.2
37811568,0.2
37641514,0.2
37107234,0.2
37821463,0.2
37821474,0.2
37671503,0.2
37841429,0.2
37761295,0.2
37621513,0.2
37720929,0.2
37761468,0.2
37611376,0.2
36281033,0.2
36019516,0.2
37771432,0.2
37621463,0.2
16402028,0.2
37751532,0.2
37641398,0.2
37691476,0.2
37771414,0.2
37801484,0.2
37651373,0.2
37800346,0.2
37831333,0.2
37771369,0.2
37711377,0.2
37741410,0.2
37601389,0.2
37631387,0.2
37761406,0.2
37671407,0.2
37800951,0.2
37701404,0.2
37801469,0.2
37287167,0.2
37651312,0.2
37681309,0.2
35763229,0.2
37690814,0.2
37741326,0.2
37681342,0.2
37631325,0.2
37611397,0.2
37731243,0.2
37671298,0.2
37077921,0.2
37691384,0.2
37841314,0.2
37831326,0.2
37307321,0.2
37661355,0.2
37711350,0.2
35854056,0.2
37831296,0.2
37631346,0.2
37791282,0.2
37601403,0.2
37611356,0.2
36803039,0.2
37770329,0.2
37690587,0.2
37701230,0.2
37691316,0.2
37781315,0.2
37317200,0.2
37137918,0.2
37780889,0.2
37691088,0.2
37651203,0.2
36723433,0.2
37641108,0.2
37791101,0.2
37731161,0.2
37087509,0.2
37721217,0.2
37741222,0.2
37831162,0.2
19065801,0.2
37631183,0.2
36321134,0.2
37801276,0.2
36691377,0.2
37721238,0.2
37681155,0.2
37641175,0.2
37800944,0.2
37329725,0.2
37721181,0.2
37631165,0.2
37801193,0.2
37147404,0.2
37811215,0.2
37611261,0.2
37671023,0.2
37771170,0.2
37761216,0.2
37681100,0.2
37157971,0.2
37811192,0.2
37821032,0.2
37660918,0.2
37630920,0.2
37741158,0.2
37701110,0.2
37681145,0.2
37661126,0.2
37751141,0.2
37640792,0.2
37801154,0.2
37067566,0.2
36301887,0.2
