id,prob
37662224,0.3
37741884,0.16
36804663,0.28
37642222,0.06
37742129,0.11
37854423,0.22
37822018,0.15
36109709,0.23
37791988,0.17
37822030,0.24
37692106,0.2
37631992,0.18
37651933,0.26
37811785,0.19
37661932,0.02
37702003,0.33
37641966,0.21
37661950,0.12
37661936,0.09
37831998,0.4
37802030,0.47
37761127,0.16
37831974,0.14
36400279,0.05
37801983,0.28
37621910,0.11
37601999,0.11
37671926,0.41
37831861,0.41
37841743,0.18
37752007,0.42
37691982,0.14
37691975,0.56
37761908,0.21
37681953,0.25
37731824,0.13
37701802,0.06
37831843,0.09
37681636,0.41
37711880,0.38
37691888,0.45
37761254,0.23
37761825,0.12
37751902,0.32
37761758,0.43
37821828,0.25
37771373,0.3
37831894,0.01
37720167,0.45
37681303,0.26
37611935,0.35
37611902,0.15
37791772,0.39
37691828,0.56
37611956,0.11
37801825,0.18
37731794,0.06
37741729,0.23
37781916,0.45
37641760,0.08
37721827,0.28
37630954,0.38
37831821,0.21
37711792,0.26
36039943,0.28
37831763,0.27
37601834,0.28
37781802,0.59
37841694,0.09
37801612,0.4
37771756,0.06
37801349,0.43
37821702,0.2
37831666,0.14
37811463,0.09
37711705,0.43
37621731,0.23
37701695,0.26
37821675,0.16
37671710,0.31
37741676,0.11
37711575,0.25
11335677,0.25
37681714,0.13
37731698,0.24
37741195,0.66
37690495,0.22
37661596,0.41
37731642,0.45
37217579,0.11
37821608,0.08
37831402,0.25
37841570,0.31
37831639,0.18
37601716,0.05
37127479,0.35
37711641,0.09
37841552,0.29
37631643,0.15
37831674,0.26
37600999,0.33
36059066,0.31
37771625,0.38
37761587,0.21
37641562,0.31
36743141,0.31
37811432,0.54
37631545,0.24
37661515,0.19
37711552,0.1
37671547,0.31
37681471,0.08
37147785,0.08
37771542,0.39
37107399,0.42
37841472,0.15
37761554,0.3
37621413,0.18
37631536,0.05
37601584,0.17
37751428,0.38
37711505,0.35
37611567,0.1
37681506,0.07
37841426,0.09
37781601,0.09
37711490,0.36
37701318,0.08
37631502,0.31
37841429,0.14
37800714,0.29
37831477,0.06
37761295,0.19
37621513,0.45
37830811,0.53
