new_id,prob
2,0.45
3,0.7
4,0.33
8,0.02
13,0.02
14,0.05
16,0.94
17,0.52
18,1
20,1
23,0.98
25,0.94
26,0.06
28,0.01
31,0.88
33,0.34
34,0.4
35,0.77
37,0.01
43,0.99
44,0.56
45,0.46
47,0.05
53,0.88
55,0.05
56,0.86
57,0.89
59,0.87
60,0.89
61,0.73
64,0.02
67,0.78
68,0.81
72,0.76
74,0.79
76,0.08
79,0.46
81,0.05
82,0.31
84,0.11
85,0.21
87,0.06
89,0.28
90,0.76
92,0.74
93,0.75
97,0.14
101,0.63
104,0.67
105,0.81
106,0.09
109,0
110,0.97
111,0.94
112,0.26
113,0.82
114,0.86
115,0.93
125,0.64
126,0.99
128,0.66
130,0.7
132,1
133,0.78
136,0.96
138,0.04
139,0.88
141,0.9
142,0.76
143,0.52
144,0.91
146,0.68
148,0.76
149,0.49
153,0.75
154,0.05
156,0.63
158,0
159,0.57
160,0.47
168,0.11
169,0.64
171,0.17
172,0.55
174,0.58
175,0.09
178,0.95
180,0.66
181,0.84
183,0.77
184,0.79
185,0.13
186,0.52
187,0.96
188,0.24
189,0.5
190,0.72
192,0.79
194,0.13
195,0.17
196,0.44
197,0.54
200,0.02
202,0.93
207,0.57
209,0.66
213,0.56
214,0.49
215,0.07
217,0.66
218,0.44
219,0.88
221,0.64
222,0.08
224,0.29
225,0.6
226,0.64
228,0.02
230,0.22
237,0.8
240,0.89
241,0.28
245,0.02
247,0.01
248,0.08
249,0.94
250,0.07
255,0.88
258,0.23
259,0.09
264,0.79
266,0.97
267,0.88
268,0.05
269,0.08
270,0.95
272,0.49
275,0.02
276,0.57
277,0.91
278,0.31
280,0.81
282,0.55
285,0.47
286,0.01
288,0.2
289,0.07
291,0.99
292,0.86
293,0.92
296,0.18
303,0.2
304,0.82
305,0.76
306,0.98
309,0.14
310,0.44
311,0.67
314,0.96
315,0.89
316,0.02
317,0.17
318,0.53
320,0.02
325,0.03
331,0.99
332,0.81
336,0.85
337,0.24
340,0.25
342,0.6
343,0.8
344,0.58
349,0.43
351,0.25
352,0.94
353,0.68
356,0.56
357,0.73
359,0.01
360,0.72
364,0.8
367,0.22
369,0.15
370,0.29
374,0.88
377,0.55
378,0.66
379,0.07
382,0.8
387,0.28
388,0.14
389,0.56
396,0.8
397,0.11
398,0.67
400,0.78
401,0.87
406,0.91
408,0.49
409,0.11
412,0.93
413,0.76
416,0.08
420,0.15
421,0.99
422,0.99
423,0.45
424,0.05
426,0.03
427,0.08
430,0.29
431,0.27
436,0.88
438,0.09
439,0.12
444,0.73
446,0.93
447,0.85
449,0.02
453,0.2
456,0.94
457,0.02
463,0.83
464,0.26
471,0
472,0.05
473,0.75
478,0.73
479,0.14
480,0.18
483,0.11
489,0.52
492,0.05
493,0.06
494,0.82
495,0.69
496,0.04
497,0.3
498,0.16
499,0.89
500,0.8
501,0.39
504,1
505,0.96
507,0.84
509,0.29
510,0.84
512,0.26
513,0.45
517,0.15
520,0.05
521,0.63
522,0.97
523,0.01
525,0.78
526,0.13
527,0.53
531,0.9
534,0.94
535,0.77
538,0.1
539,0.99
542,0.06
544,0.35
545,0.8
549,0.09
552,0.06
554,0.41
561,0.78
565,0.55
569,0.7
572,0.69
573,0.78
574,0.3
575,0.97
576,0.11
579,0.41
582,0.07
583,1
587,0.37
588,0.89
590,0.75
591,0.72
595,0.71
596,0.25
597,0.88
600,0.22
602,0.22
605,0.33
606,0.06
611,0.02
617,0.78
619,0.12
620,0.22
621,0.32
623,0.96
624,0.2
626,0.15
627,0.04
628,0.02
630,0.06
633,0
637,0.94
638,0.88
639,0.19
640,0.28
641,0.64
643,0.19
647,0.45
649,0.72
650,0.58
651,0.67
656,0.72
657,0.55
658,0.42
660,0.22
661,0.23
664,0.53
667,0.05
668,0.1
671,0.3
672,0.39
674,0.72
676,0.75
678,0.1
680,0.75
681,0.12
682,0.9
685,0.2
687,0.59
691,0.6
692,0.36
694,0.96
696,0.43
697,0.09
698,0.28
700,0.01
704,0.73
705,0.68
707,0.13
708,0.38
710,0.24
711,0.79
712,0.76
713,0.15
715,0.97
717,0.26
720,0.03
723,0.11
724,0.15
728,0.89
729,0.21
731,0.15
737,0.87
738,0.48
739,0.84
740,0.52
742,0.78
743,0.88
744,0.34
747,0.16
748,0.4
749,0.86
750,0.99
752,0.91
754,0.1
756,0.05
760,0.48
761,0
765,0.49
766,0.33
770,0.51
771,0.23
773,0.1
774,0.17
778,0.11
779,0.54
780,0.2
782,0.09
783,0.59
789,0.57
790,0.7
793,0.01
794,0.9
795,0.93
797,0.01
798,0.72
802,0.61
804,0.74
805,0.43
808,0.66
811,0.93
812,0.49
816,0.92
821,0.32
823,0.06
824,0.62
827,0.55
831,0.01
837,0
839,0.71
845,0.65
846,0.84
849,0.13
852,0.04
853,0.29
856,0.89
859,0.74
860,0.79
862,0.85
868,0.85
870,0.12
876,1
877,0.9
881,0.85
883,0.62
888,0.91
889,0.89
891,0.86
893,0.69
894,0.16
895,0.14
896,0.05
900,0.26
902,0.72
906,0.47
907,0.67
909,0.01
911,0.21
913,0.03
915,0.49
918,0.44
921,0.98
923,0.04
924,0.01
925,0.31
926,0.9
927,0.52
929,0.96
930,0.93
931,0.84
932,0.76
933,0.1
934,0.72
936,0.47
939,0.61
943,0.46
944,0.87
945,0.88
947,0.11
948,0.64
949,0.8
950,0.89
952,0.11
954,0.96
957,0.15
961,0.96
970,0.66
971,0.59
972,0.21
974,0.51
975,0.89
981,0.54
983,0.81
984,0.92
990,0.28
998,0.61
999,0.08
1000,0.03
1001,0.02
1002,0.81
1003,0.22
1004,0.19
1008,0.7
1009,0.89
1011,0.44
1014,0.08
1017,0.61
1020,0.75
1022,0.2
1024,0.84
1025,0.19
1028,0.09
1029,0.12
1030,0.87
1035,0.11
1036,0.85
1037,0.13
1038,0.17
1039,0.18
1040,0.98
1041,0.97
1044,0.22
1046,0.27
1048,0.7
1051,0.07
1052,0.28
1053,0.58
1054,0.82
1056,0.16
1057,0.48
1059,0.63
1063,0.85
1064,0.79
1066,0.86
1067,0.04
1068,0.79
1071,0.58
1072,0.22
1073,0.01
1075,0.05
1076,0.27
1080,0.83
1081,0.75
1082,0.94
1084,0.29
1085,0.07
1089,0.84
1090,0.01
1092,0.42
1093,0.33
1096,0.99
1097,0.01
1099,0.25
1100,0.6
1105,0.6
1108,0.81
1109,0.07
1110,0.88
1111,0.3
1112,0.73
1114,0.65
1115,0.15
1117,0.75
1118,0.87
1119,0.55
1122,0.61
1128,0.66
1129,0.79
1130,0.12
1136,0.08
1137,0.25
1138,0.1
1140,0.74
1143,0.17
1145,0.82
1147,0.17
1148,0.2
1151,0.5
1153,0.16
1154,0.9
1155,0.09
1159,0.05
1160,0.15
1162,0.72
1165,0.08
1167,0.92
1171,0.24
1174,0.45
1175,0.67
1178,0.04
1179,0.21
1185,0.93
1186,0.87
1188,0.81
1190,0.8
1191,0.18
1193,0.65
1198,0.09
1201,0.49
1204,0.45
1206,0.98
1207,0.28
1209,0.1
1212,0.86
1214,0.21
1216,0.79
1220,0.69
1224,0.61
1225,0.33
1226,0.97
1227,0.04
1228,0.08
1229,0.2
1231,0.69
1233,0.88
1235,0.99
1236,0.21
1238,0.24
1241,0.28
1243,0
1244,0.93
1246,0.29
1247,0.97
1248,0.93
1249,0.22
1250,0.67
1251,0.26
1257,0.19
1261,0.01
1262,0.6
1263,0.86
1264,0.26
1267,0.47
1268,0.94
1269,0.97
1272,0.66
1274,0.98
1276,0.88
1278,0.8
1279,0.81
1280,0.08
1281,0.12
1283,0.97
1284,0.98
1285,0.99
1286,0.98
1287,0.39
1289,0.86
1290,0.63
1291,0.97
1292,0.28
1296,0.63
1298,0.77
1302,0.03
1303,0.12
1305,0.05
1307,0.7
1310,0.23
1311,0.69
1313,0.15
1317,0.23
1318,0.1
1324,0.16
1326,0.24
1328,0.09
1330,0.82
1332,0.83
1337,0.99
1338,0.84
1339,0.95
1341,0.74
1342,0.34
1343,0.51
1344,0.32
1347,0.19
1349,0.18
1351,0.13
1352,0.6
1353,0.02
1354,0.08
1355,0.92
1357,0.6
1359,0.79
1362,0.65
1363,0.53
1365,0.02
1367,0.26
1368,0.18
1369,0
1370,0.01
1372,0.62
1374,0.43
1375,0.32
1376,0.89
1377,0.5
1378,0.68
1379,0.3
1381,0
1385,0.5
1387,0.58
1388,0.24
1389,0.02
1391,0.78
1392,0.43
1393,0.64
1395,0.86
1400,0.23
1401,0.09
1403,0.79
1404,0.82
1406,0.49
1408,0.97
1409,0.44
1410,0.18
1416,0.04
1417,0.2
1419,0.61
1420,0.91
1421,0.72
1422,0.11
1424,0.35
1426,0.15
1428,0.2
1429,0.14
1434,0.82
1438,0.31
1439,0.51
1440,0.75
1441,0.44
1442,0.64
1444,0.1
1451,0.99
1455,0.63
1456,0.09
1459,0.04
1462,0.9
1465,0.05
1466,0.33
1467,0.59
1468,0.94
1469,0.12
1470,0.03
1472,0.97
1473,0.96
1474,0.76
1476,0.77
1477,0.32
1478,0.42
1479,0.27
1480,0.62
1481,0.57
1482,0.76
1483,0.47
1484,0.67
1485,0.5
1486,0.04
1487,0.25
1490,0.65
1491,0.5
1492,0.08
1494,0.71
1495,0.56
1496,0.32
1498,0.17
1501,0.81
1504,1
1505,0.82
1509,0.85
1512,0.23
1513,0.95
1514,0.12
1515,0.8
1520,0.81
1521,0.3
1523,0.74
1524,0.64
1526,0.05
1527,0.54
1528,0.59
1529,0.23
1530,0.34
1531,0.03
1534,0.43
1538,0.01
1539,0.7
1540,0.62
1541,0.27
1542,0.48
1544,0.83
1545,0.85
1547,0.27
1550,0.46
1555,0.93
1556,0.95
1564,0.01
1569,0.82
1572,0.04
1574,0.04
1575,0.14
1576,0.16
1577,0.52
1578,0.23
1580,0.34
1581,0.33
1583,0.67
1588,0.81
1591,0.75
1597,0.96
1599,0.73
1600,0.07
1603,0.33
1604,0.7
1606,0.36
1608,0.74
1610,1
1615,0.53
1616,0.3
1618,0.33
1622,0.98
1623,0.95
1624,0.8
1625,0.42
1627,0.04
1628,0.26
1629,0.47
1630,0.61
1632,0.12
1634,0.15
1640,0.5
1644,0.07
1646,0.51
1647,0.53
1648,0.74
1649,0.55
1651,0.84
1652,0.84
1654,0.78
1655,0.97
1658,0.9
1664,0.57
1667,0.55
1669,0.79
1671,0.12
1672,0.1
1673,0.09
1675,0.09
1676,0.23
1679,0.73
1683,0.06
1686,0.91
1687,0.16
1688,0
1691,0.33
1693,0.97
1696,0.45
1700,0.02
1701,0
1705,0
1706,0.48
1709,0.51
1711,0.79
1714,0.96
1716,0.28
1719,0.09
1721,0.02
1722,0.87
1723,0.68
1726,0.89
1727,1
1731,0.17
1732,0.47
1735,0.16
1738,0.92
1739,0.47
1746,0.25
1749,0.77
1750,0.8
1751,0.27
1752,0.31
1755,0.04
1757,0.87
1758,0.14
1759,0.9
1760,0.93
1761,0.87
1762,0.17
1763,0.67
1765,0.6
1767,0.09
1770,0.03
1772,0.77
1774,0.22
1776,0.22
1777,0.58
1780,0.87
1781,0.37
1784,0.75
1785,0.48
1787,0.14
1789,0.02
1791,0.95
1793,0.05
1794,0.09
1795,0.83
1799,0.62
1800,0.03
1804,0.95
1806,0.41
1808,0.23
1809,0.18
1814,0.04
1819,0.09
1822,0.09
1823,0.17
1825,0.09
1827,0
1829,0.91
1830,0.34
1832,0.3
1835,0.47
1837,0.91
